source,target,date,type,FATALITIES,LATITUDE,LOCATION,LONGITUDE,NOTES,记录数,YEAR
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/6/15,Battle-No change of territory,16,36.7664,Boumerdes,3.4772,"23 June 2000- Lloyds- The army, backed by helicopter gunships and heavy artillery, attacked rebel hideouts in the provinces of Boumerdes and Tizi-Ouzo killing 16 in a big operation which started on Saturday, the newspapers said.",1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/3/21,Battle-No change of territory,16,33.6861,El Bayadh,1.0139,"23 March 2000 Lloyd-The Algerian army has killed 35 members of an Islamic militant group in a crackdown prompted by the killing of 25 shepherds and their families. militants were killed over the past three weeks in the regions of El-Bayadh, 280",1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/3/21,Battle-No change of territory,16,32.4909,Ghardaia,3.6735,"23 March 2000 Lloyd-The Algerian army has killed 35 members of an Islamic militant group in a crackdown prompted by the killing of 25 shepherds and their families. militants were killed over the past three weeks in the regions of El-Bayadh, 280",1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/12/12,Battle-No change of territory,18,35.9086,Derrag,2.3878,14th Dec 2000- 12 soldiers and 6 rebels killed when a military convoy was ambushed.,1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/2/7,Battle-No change of territory,18,35.1939,Sidi Bel Abbes,-.6414,"11 Feb 2000- BBC Mon-Army [ANP] yesterday morning [9th February] went to Sidi Beledghan, a wooded area in the Merine administrative district some 97 km southwest of Sidi Bel-Abbes Province [350 km southwest of Algiers], and proceeded to search",1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/12/11,Battle-No change of territory,28,36.8,Jijel,5.7667,13th Dec 2000- Llyods- a weeklong crackdown on rebels mountain hideouts.,1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/12/11,Battle-No change of territory,33,35.3944,Mascara,.1397,13th Dec 2000- Llyods- military convoy attacked. 9 soldiers killed and 24 rebels.,1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/12/22,Battle-No change of territory,78,36.2247,El Attaf,1.6728,"24th Dec 2000-AFP- Large scale fighting in El Attaf region, 71 rebels killed, 7 army men.",1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/2/6,Battle-No change of territory,80,35.8,Ain el Gharbia,3.1667,February 8 (Xinhua) - About 80 militants were killed in a recent massive combing operation by the Algerian Peoples National Army in the southern state of Glizan.,1,2000
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2000/1/22,Battle-No change of territory,125,35.7425,Relizane,.5592,"Jan 24 (Reuters) - More than 100 Moslem rebels and 25 government soldiers were killed in fierce fighting in western Algeria, the newspaper Le Matin reported on Monday.",1,2000
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/3/19,Battle-No change of territory,0,36.8,Jijel,5.7667,25th March 2001- AFP- In a security forces operation last week 31 rebels were killed in various spots in the Jijel region.,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/2/16,Battle-No change of territory,0,35.1939,Sidi Bel Abbes,-.6414,"18th Feb 2001- The Record-military clash, deaths on both sides.",1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/9/22,Battle-No change of territory,1,35.4042,Tebessa,8.1242,"23rd Sept 2001- 3 day army search and sweep operation in Tebessa, 4 rebels killed",1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/9/23,Battle-No change of territory,1,35.4042,Tebessa,8.1242,"23rd Sept 2001- 3 day army search and sweep operation in Tebessa, 4 rebels killed",1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/9/21,Battle-No change of territory,2,35.4042,Tebessa,8.1242,"23rd Sept 2001- 3 day army search and sweep operation in Tebessa, 4 rebels killed",1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/9/4,Battle-No change of territory,4,36.8,Jijel,5.7667,6th Sept 2001- El Watan/Llyods Military killed 4 Islamic rebels as part of a crackdown on violence in the area,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/5/10,Battle-No change of territory,7,36.7525,Algiers,3.042,15th May 2001- Clash between army and militants lasted several hours in region of Yivel (not coming up on locator).,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/10/7,Battle-No change of territory,9,36.7525,Algiers,3.042,"9th oct 2001, EFE news- Battle 1",1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/3/12,Battle-No change of territory,9,36.7525,Algiers,3.042,14th March 2001- Llyods- 9 rebels killed during an attack in forested area called Timexi (not coming up on locator).,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/10/25,Battle-No change of territory,10,35.3944,Mascara,.1397,10 rebels killed in an ambush,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/3/12,Battle-No change of territory,13,36.95,Douar Des Ouled Attia,7.5,18th March 20010 AP- rebels hidng in caves were killed my military.,1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/2/22,Battle-No change of territory,13,36.1653,Chlef,1.3345,24th Feb 2001- AP- 13 rebels killed part of crackdown,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/12/23,Battle-No change of territory,14,35.2878,Bled Mashouba,.2289,"25 December 2001 Al-Bawaba News, The Algerian army killed at least 14 gunmen over the weekend in Muasker province, about 380 kilometers west of the capital, Algiers.  The Algerian army killed at least 14 gunmen over the weekend in Muasker provi",1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/3/18,Battle-No change of territory,31,36.8,Jijel,5.7667,25th March 2001- AFP- In a security forces operation last week 31 rebels were killed in various spots in the Jijel region.,1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2001/4/24,Battle-No change of territory,47,36.4291,Chrea,2.8806,28th April 2001- Irish Examiner- 40 Algerian military and 7 rebels killed in clashes.,1,2001
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/11,Battle-No change of territory,0,35.7425,Relizane,.5592,"13 September 2004 BBC Monitoring- Security forces killed six militants last Saturday and Sunday [11-12 September] in the provinces of Relizane and Batna [some 200 km to the west of Algiers and 435 km southeast of Algiers, respectively].",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/11/18,Battle-No change of territory,1,35.6294,El Madher,6.3726,"22 November 2004 01:49 BBC Monitoring- On Thursday night [18 November] into Friday morning, the security forces killed a militant in the centre of El Madher town (20 km north of the town of Batna) when he aroused suspicion while pushing a cart.",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/6/20,Battle-No change of territory,1,36.75,Bejaia,5.0833,21 June 2004 Daily Star-  The Algerian armed forces said on Sunday they had killed the leader of a major Islamic rebel group with ties to Al-Qaeda.,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/3,Battle-No change of territory,1,36.6248,Keddara,3.4779,"4 July 2004 BBC Monitoring- The commander of Keddara, Abderrahmane Skodarli, was killed yesterday at dawn by the security forces near the Keddara dam in Boumerdes Province [50 km east of Algiers",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/5/20,Battle-No change of territory,1,36.7664,Boumerdes,3.4772,"23 May 2004 BBC Monitoring-  The forces of the Peoples National Army [ANP], which have been on a search operation in the Sidi Ali Bounab mountains since this past Thursday [20 May] successfully neutralized a militant in a skirmish yesterday mor",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/1,Battle-No change of territory,1,36.1653,Chlef,1.3345,"2 December 2004 BBC Monitoring- One militant was killed, a second wounded, and two others arrested yesterday in Chlef town centre by the security agencies. This dramatic operation occurred at about noon right next to the premises of Hassiba-Ben",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/3,Battle-No change of territory,1,36.0647,Sendjas,1.4053,"4 October 2004 BBC Monitoring -A militant was killed yesterday during an ambush laid by the security services in the mountainous region of Anssour El Bia, the municipality of Sendjas between Chlef and Tissemsilt",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/4,Battle-No change of territory,1,36.8,Jijel,5.7667,5 December 2004 BBC Monitoring-A national peoples army patrol killed a militant yesterday afternoon at a place called Moukoufa southeast of Ouana in Jijel Province.,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/5/7,Battle-No change of territory,1,36.8017,El-Ancer,6.1608,"May 7 (AFP) - The Algerian security forces said on Friday they had killed one suspected Islamist and wounded another the previous day at El-Ancer, in the Jijel region, 300 kilometres (190 miles) east of Algiers.",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/3,Battle-No change of territory,1,35.8681,Ammi Moussa,1.1081,"5 July 2004 BBC Monitoring-  This weekend, in the spot known as Douar Ouled Attia, connected to the municipality of Ouled Ayach, which reports to Ammi Moussa administrative district, in Relizane Province, elements from the Peoples National Army",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/14,Battle-No change of territory,1,34.8833,Rebahia,.15,"15 July 2004 BBC Monitoring- On Tuesday evening into Wednesday [13 to 14 July] morning, acting on intelligence, the security forces engaged in a violent skirmish with a militant group in the spot known as Rebahia, in the municipality of Kerkera",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/6,Battle-No change of territory,1,36.8886,Tigzirt,4.1198,"8 December 2004BBC Monitoring-  A militant from the Salafist Group for Call and Combat (GSPC) was slain by a patrol from the National Peoples Army [ANP] this past Monday [6 December] at about 2200 hours east of the city of Tadmait, in the wilay",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/15,Battle-No change of territory,1,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/17,Battle-No change of territory,1,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/18,Battle-No change of territory,1,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/19,Battle-No change of territory,1,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/29,Battle-No change of territory,2,27.8709,Adrar,-.2856,"30 October 2004 BBC Monitoring- National Gendarmerie units, backed by elements from the Peoples National Army [ANP], are carrying out a large-scale combing operation in the administrative districts of Ougrout and Timimoune [phonetic] in Adrar.",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/3,Battle-No change of territory,2,36.7525,Algiers,3.042,"3 October 2004 Associated Press-Security forces fought a gunbattle Sunday with Islamic militants holed up in an apartment in the Algerian capital, killing two, police said.",1,2004
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/29,Battle-No change of territory,2,36.7525,Algiers,3.042,"29 July 2004 sBBC Monitoring- Two armed militants were killed by the police services yesterday afternoon while they were in a flat in Benzerga, a quarter on the outskirts of Algiers.",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/23,Battle-No change of territory,2,36.501,Aomar,3.774,25 October 2004 BBC Monitoring- Two militants were killed by a unit from the National Peoples Army [ANP] Saturday [23 October] morning in the hamlet of Ouled Nacer about six kilometres northwest of Aomar (Bouira).,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/6/6,Battle-No change of territory,2,36.7664,Boumerdes,3.4772,6 June 2004 BBC Monitoring- The combined security forces of Boumerdes Province killed two militants in Naceria during an operation they carried out this afternoon.,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/6/26,Battle-No change of territory,2,36.65,Khemis El Khechna,3.3308,28 June 2004 BBC Monitoring-  Forces of the Peoples National Army [ANP] managed on Saturday night into Sunday [26-27 June] to kill two militants in Khemis el Khechna area in Boumerdes Province and to recover two Kalashnikovs in their possession,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/30,Battle-No change of territory,2,36.8792,Skikda,6.9067,"30 December 2004 BBC Monitoring Security forces, the day before yesterday, killed two militants on the outskirts of the region of Guermadja, which is about two kilometres from the Kerkara provincial centre, west of Skikda [500 km east of Algier",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/6,Battle-No change of territory,2,35.9333,Lazharia,1.5667,"10 July 2004 BBC Monitoring  On Tuesday night, 6 July 2004, at about 2045 hours [1945 gmt], a group of five militants fell into an ambush that had been laid by the detachment of the municipal guard of Sidi Salah, in the district of Lazharia, in",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/12,Battle-No change of territory,2,36.8886,Tigzirt,4.1198,"13 December 2004 BBC Monitoring-  Two militants from the Salafi Group for Call and Combat [GSPC] were slain yesterday [12 December] in Tizi Ouzou, in the village of Tazmalt El-Kaf on the southern bypass",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/14,Battle-No change of territory,2,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/16,Battle-No change of territory,2,36.535,Draa El Mizan,3.8336,19 September 2004 04:09 BBC Monitoring-  Since this past Tuesday [14 September] the combined forces of the Peoples National Army [ANP] have been engaged in a huge search operation in the wooded Mizrana massif (extreme eastern portion of Boumerd,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/19,Battle-No change of territory,3,36.7664,Boumerdes,3.4772,"21 July 2004 BBC Monitoring- Methodically pursuing the offensive that they have had going for the past 12 days east of Boumerdes, the day before yesterday [19 July], in the late afternoon, the combined security forces, according to matching sou",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/8,Battle-No change of territory,4,36.8833,Edough,7.6167,operation which was begun on Friday [8 October] by the forces of the National Peoples Army [ANP] in the wooded Edough massif tells of the elimination of four militants and t,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/6/12,Battle-No change of territory,4,35.5553,Batna,6.1786,"14 June 2004 BBC Monitoring- The combined security forces have recently killed four militants during a large-scale combing operation in Djebel Chelaa, in the outskirts of the town of Batna.",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/8/29,Battle-No change of territory,4,36.7664,Boumerdes,3.4772,"Aug 31 (AFP) -  Four armed Islamic extremists were killed Sunday and Monday in a sweep by security forces in the regions of Boumerdes and Relizane,",1,2004
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2004/12/5,Battle-No change of territory,6,36.7525,Algiers,3.042,"7 December 2004Dow Jones International News- Algerian soldiers have slain six Islamic militants in the past few days in a crackdown on armed radicals in western Algeria, a newspaper reported Tuesday.  The militants, believed to have been member",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/9/11,Battle-No change of territory,6,35.5553,Batna,6.1786,"13 September 2004 BBC Monitoring- Security forces killed six militants last Saturday and Sunday [11-12 September] in the provinces of Relizane and Batna [some 200 km to the west of Algiers and 435 km southeast of Algiers, respectively].",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/12/24,Battle-No change of territory,6,35.7425,Relizane,.5592,"Dec 25 (Reuters) - Algerias army has killed six Islamic militants in northwest Algeria during a sweep on a suspected rebel hideout, state radio quoted security services as saying on Saturday. The militants were killed on Friday during a two-hou",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/6/16,Battle-No change of territory,8,35.65,Mendes,.8667,17 June 2004 BBC Monitoring-  Eight militants were killed and a major consignment of weapons and munitions was recovered at the end of an offensive launched by the forces of the National Peoples Army [ANP] in a wooded area on the territory of t,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/7/24,Battle-No change of territory,9,36.6248,Keddara,3.4779,24 July 2004 BBC Monitoring-  Nine militants of the Salafi Group for Call and Combat [GSPC] have been killed several hideouts destroyed in search operations in Bouzegza and Kadara areas [east of Algiers].,1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2004/10/25,Battle-No change of territory,10,36.535,Draa El Mizan,3.8336,"27 October 2004 Associated Press- Suspected Islamic militants decapitated three soldiers in Algeria in an upsurge of violence during the Muslim holy month of Ramadan, reports said Wednesday. Security forces killed seven alleged militants in an",1,2004
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/8/28,Battle-No change of territory,0,36.6093,Sidi Aich,4.6913,"On the night of Sunday to Monday, two soldiers and a civilian were wounded in an ambush set by the GSPC at Tirourda Pass on National Highway number 33.",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/5/6,Battle-No change of territory,1,36.8822,Beni Ksila,4.662,"A skirmish took place in the evening between a group of the Salafi Group for Call and Combat [GSPC] and the military forces that have been combing the maquis of the municipality of Beni Ksila; one soldier, was wounded in the shoulder by a bulle",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/2/3,Battle-No change of territory,1,36.8778,Cap Djinet,3.7205,The leader of an armed group the Salafist Group for Preaching and Combat ( GSPC) was killed Thursday night by security forces in Cap Djinet near Boumerdes (50 km east of Algiers).,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/6/4,Battle-No change of territory,1,36.9172,Dellys,3.9131,"The Peoples National Army forces, Saturday [4 June] night, killed a militant called B. S. in the Dellys district of Boumerdes Province, and recovered a Kalashnikov rifle.",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/11/7,Battle-No change of territory,1,36.65,Khemis El Khechna,3.3308,A militant was slain by the security forces on Monday [ 7 November] night into Tuesday morning in Khemis El-Khechna 20 km to the southwest of Boumerdes.,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/3/17,Battle-No change of territory,1,36.7853,Zemmouri,3.6036,Islamic group leader Malik Nacer alias Abou Ayoub; ANP forces were carrying out a combing operation when they spotted two GSPC militants; the other managed to escape.,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/2/12,Battle-No change of territory,1,35.679,Ben Merzouga,4.162,"One GSPC militants killed and one sawed-off rifle recovered, from the ambush that was laid 12 February , at about 1930 hours local time, by the forces of the National Peoples Army ANP for a militant from the Salafi Group for Call andCombat GSPC",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/8/17,Battle-No change of territory,1,37.0058,Collo,6.5725,The explosives expert for the small groups from the Salafi Group for Call and Combat [GSPC] that are active in the Collo massif was killed during an ambush laid by the combined forces.,1,2005
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/10/17,Battle-No change of territory,2,36.2933,Ain Bessem,3.6732,"Two policemen were killed and one wounded Sunday night by armed Islamists in Ain Bessam, in the region of Bouira.",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/7/29,Battle-No change of territory,2,36.7305,Tidjelabine,3.4948,"Two gendarmes were killed and four others wounded, one of them seriously, in an ambush that was laid on 29 July, for a patrol from the National Gendarmerie in Tidjelabine, in Boumerdes Province. The attack was attributed to the local faction of",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/5/30,Battle-No change of territory,2,36.1128,El Karimia,1.5506,"In Chlef [around 200 km west of Algiers], two militants were slain in Harchoune, in the municipality of El-Karimia.",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/7/12,Battle-No change of territory,2,36.7547,El Milia,6.2725,"On Tuesday [12 July] afternoon, a municipal guard was killed in the community of Boubazil, which part of the Beni Fergane hamlet, in the municipality of El Milia. The response by the soldiers resulted in the killing of a militant from the group",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/9/2,Battle-No change of territory,2,36.4667,Ait Ouabane,4.2833,"Two Islamists were gunned down Friday by security forces in Ait Ouadane, near the town of Tizi Ouzou, 110 kilometres (65 miles) east of Algiers,",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/6/19,Battle-No change of territory,2,36.8638,Mizrana Forest,4.0654,"Two soldiers killed and 11 others wounded. While they were on a search operation the day before yesterday at 2000 [local time] in the Mizrana woods [east of Algiers], soldiers from the National Peoples Army [ANP] were targeted by a militant gro",1,2005
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/5/28,Battle-No change of territory,3,36.261,Khemis Miliana,2.2202,Armed Islamists killed three local guards and captured two in an attack on their camp west of Algiers. Saturdays raid targetted a camp at Khemis Miliana near Ain Defla.,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/9/2,Battle-No change of territory,4,36.6677,Beni Amrane,3.5912,"Four Islamist militants were killed by security forces early Friday in Beni Amrane, near Boumerdes",1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/2/4,Battle-No change of territory,4,36.8558,Sidi Daoud,3.8567,of the Salafi Group for Call and Combat GSPC in Sidi Daoud municipality in Boumerdes Province.,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/9/22,Battle-No change of territory,5,36.6888,Oum Toub,6.572,Five GSPC militants slain in Skikda: last Wednesday [5 October] at 2130 hours an ambush was laid for them by forces from the west of the main town in the municipality of Oum Toub.,1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/10/17,Battle-No change of territory,5,36.535,Draa El Mizan,3.8336,Five armed Islamists were killed Monday during a clash with security forces in Draa El Mizan-at forty km south of Tizi Ouzou in Kabylia (100 km east of Algiers),1,2005
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2005/10/17,Battle-No change of territory,12,36.5344,Kadiria,3.6828,-type helicopters bombed the zone and destroyed several blockhouses.,1,2005
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/10/3,Battle-No change of territory,0,36.7463,Naciria,3.8316,Two policemen were wounded in an attack committed by GSPC on the edge of the city of Naciria,1,2006
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/8/22,Battle-No change of territory,1,36.7487,Bordj El Kiffan,3.1925,One militant was killed in the municipality of Bordj-El-Kiffan by the security forces,1,2006
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/10/13,Battle-No change of territory,1,36.7433,Bordj Menaiel,3.7173,"A municipal guard was killed in the working class neighbourhood of Bousbaa, on the outskirts of in Bordj Menaiel 20 kilometres east of Boumerdes by an armed group. The attack is reportedly the work of the Isser seria, which is part of the El-An",1,2006
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/11/2,Battle-No change of territory,1,36.4939,Menaceur,2.2431,"Islamist was shot dead in a clash with security forces at Menaceur, near Tipaza, 70 kilometers west of Algiers.",1,2006
Police Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/10/13,Battle-No change of territory,2,32.8265,Berriane,3.7669,14 October 2006 BBC Monitoring-The elements from the National Gendarmerie from the Berriane brigade successfully killed two dangerous militants who were known in the Laghouat and Ghardaia regions and arrested two others.,1,2006
Military Forces of Algeria (1999-),GSPC: Salafist Group for Call and Combat,2006/7/3,Battle-No change of territory,3,36.0466,Mechta Larbaa,5.1317,5 July 2006 BBC Monitoring-Three militants affiliated with the Salafi Group for Call and Combat [GSPC] were slain by a special unit from the army this past Monday [3 July] evening near the village of Ikhlidjen not far from the main town in the,1,2006
Protesters,Military Forces of Algeria (1999-),2000/2/8,Riots/Protests,0,36.7525,Algiers,3.042,"Feb 10 lloyds- Riot police today blocked a march by some 300 people, mainly women, in protest against the amnesty granted to thousands of Moslem rebels, witnesses said. Scores of riot police lined up in Addis Abeba square to block all roads lea",1,2000
Protesters,Police Forces of Algeria (1999-),2003/4/3,Riots/Protests,0,36.7525,Algiers,3.042,Algiers police use force to break up Islamist partys pro-Iraq March.,1,2003
Protesters,Police Forces of Algeria (1999-),2003/3/24,Riots/Protests,0,36.7525,Algiers,3.042,Police forced back some 40 Algerian parliamentary deputies who were marching towards the US embassy to protest the war in Iraq.,1,2003
Protesters,Police Forces of Algeria (1999-),2003/5/31,Riots/Protests,0,36.7359,Reghaia,3.3402,70 families from the the Sonacome neighborhood blocked a provincial highway fed up with the lack of support after the earthquake. Police intervened and the roadblock was lifted.,1,2003
Protesters,Police Forces of Algeria (1999-),2003/2/17,Riots/Protests,0,35.7058,MSila,4.5419,Villages in the area cut off access to the main highway in the area until they were forced to stop by police.,1,2003
Protesters,Police Forces of Algeria (1999-),2004/8/10,Riots/Protests,0,36.7118,Tizi Ouzou,4.0459,Police arrested the leader of the Kabylia protest movement during a protest with hospital workers.,1,2004
Protesters,Police Forces of Algeria (1999-),2006/2/6,Riots/Protests,0,36.7525,Algiers,3.042,"3,000 people protest the printing of an image of the Prophet Mohammad. 100 young people attempted to protest in the streets but they were stopped by police.",1,2006
Protesters,Police Forces of Algeria (1999-),2006/2/6,Riots/Protests,0,36.1914,Setif,5.4094,Students protest the printing of an image of the Prophet Mohammad. Police intervene.,1,2006
Protesters,Police Forces of Algeria (1999-),2008/4/2,Riots/Protests,0,36.7118,Tizi Ouzou,4.0459,"5,000 demonstrators turned out in an effort to convince people to boycott the upcoming elections.",1,2008
Protesters,Police Forces of Algeria (1999-),2009/5/17,Riots/Protests,0,36.7525,Algiers,3.042,Algerian police break up conscripts protest,1,2009
Protesters,Police Forces of Algeria (1999-),2010/1/7,Riots/Protests,0,36.7525,Algiers,3.042,"8 January 2010 Morning Star Online Hundreds of striking protesters were trying to march through the centre of Rouiba, an industrial zone in the east of the capital, when baton-wielding police waded in, battering and kicking protesters to the gr",1,2010
Protesters,Police Forces of Algeria (1999-),2011/10/9,Riots/Protests,0,36.7525,Algiers,3.042,"Police arrest 25 members of the CNDDC, an unemployment rights group, as they protest for their cause.",1,2011
Protesters,Police Forces of Algeria (1999-),2011/7/10,Riots/Protests,0,36.7525,Algiers,3.042,Two protesters are hurt by polices rubber bullets and tear gas when they demonstrate against a building project that would replace a nearby park.,1,2011
Protesters,Police Forces of Algeria (1999-),2011/5/11,Riots/Protests,0,36.7525,Algiers,3.042,"Police block a protest by striking doctors and health care students who were demanding new government rules in their profession,",1,2011
